"pfad","A","C","D_brackets","D_tilde","E","G_fm_link","H_self_link","I_quote","severity","mtime","size"
".claude\worktrees\elastic-payne-f690b2\01-projekte\miraculix\miraculix.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","3063"
".claude\worktrees\elastic-payne-f690b2\01-projekte\pulsepeptides\pulsepeptides.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","3493"
".claude\worktrees\elastic-payne-f690b2\01-projekte\pulsepeptides\knowledge-base\support-eskalation.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","2789"
".claude\worktrees\elastic-payne-f690b2\01-projekte\pulsepeptides\logs\2026-04-17-kalani-call-orderprozess.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","5741"
".claude\worktrees\elastic-payne-f690b2\01-projekte\thalor\herosoftware\clay-integration.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","7628"
".claude\worktrees\elastic-payne-f690b2\01-projekte\thalor\herosoftware\workflows\wf1-mantle-attio.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","8103"
".claude\worktrees\elastic-payne-f690b2\02-wissen\health\neurotransmitter-network.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","4008"
".claude\worktrees\elastic-payne-f690b2\02-wissen\health\theoretischer-stack.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","4412"
".claude\worktrees\elastic-payne-f690b2\03-kontakte\robin-kronshagen.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","776"
".claude\worktrees\elastic-payne-f690b2\05-archiv\migration-abschluss.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","9717"
".claude\worktrees\elastic-payne-f690b2\_claude\skills\drive-eingang-holen.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","4221"
".claude\worktrees\elastic-payne-f690b2\_claude\skills\schreibstil.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","6754"
".claude\worktrees\elastic-payne-f690b2\_claude\skills\wissens-destillation.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","3058"
".claude\worktrees\elastic-payne-f690b2\_meta\schema.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","6455"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\bachelor-thesis\forschungsdesign.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","2634"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\bachelor-thesis\logs\2026-03-17-bachelorarbeit-dokumentation.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","686"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\coralate\tech-stack-conventions.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","8154"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\coralate\food-scanner\frontend-integration.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","7085"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\coralate\food-scanner\prompt-log.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","2915"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\hays\lizenzmanagement-konzept.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","8129"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\hays\logs\2026-03-30-hays-reporting-cowork-automatisierung.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","552"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\hdwm\semester-5\international-sales-turnitin-bericht.md","0","0","0","0","0","0","0","1","SEVERE","2026-04-18 22:35:48","3202"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\hdwm\semester-5\meeting-kaufmann-2026-04-21.md","0","0","0","0","0","0","0","1","SEVERE","2026-04-18 22:35:48","9460"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\miraculix\miraculix.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","3063"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\pulsepeptides\pulsepeptides.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","3493"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\pulsepeptides\knowledge-base\support-eskalation.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","2789"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\pulsepeptides\logs\2026-04-17-kalani-call-orderprozess.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","5741"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\thalor\herosoftware\clay-integration.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","7628"
".claude\worktrees\youthful-buck-a15c3a\01-projekte\thalor\herosoftware\workflows\wf1-mantle-attio.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","8103"
".claude\worktrees\youthful-buck-a15c3a\02-wissen\health\neurotransmitter-network.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","4008"
".claude\worktrees\youthful-buck-a15c3a\02-wissen\health\theoretischer-stack.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","4412"
".claude\worktrees\youthful-buck-a15c3a\03-kontakte\robin-kronshagen.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","776"
".claude\worktrees\youthful-buck-a15c3a\05-archiv\migration-abschluss.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","9717"
".claude\worktrees\youthful-buck-a15c3a\_claude\skills\drive-eingang-holen.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","4221"
".claude\worktrees\youthful-buck-a15c3a\_claude\skills\schreibstil.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","6754"
".claude\worktrees\youthful-buck-a15c3a\_claude\skills\wissens-destillation.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","3058"
".claude\worktrees\youthful-buck-a15c3a\_meta\schema.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 22:35:48","6455"
"01-projekte\bachelor-thesis\bachelorarbeit-research-vault.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:15:06","62390"
"01-projekte\bachelor-thesis\briefing-sandbrink-2026-04-23.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:14:02","1003"
"01-projekte\bachelor-thesis\claude-support-bachelorarbeit.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:15:06","38471"
"01-projekte\bachelor-thesis\codebook-klartext.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:14:02","32109"
"01-projekte\bachelor-thesis\forschungsdesign.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-16 22:58:08","2562"
"01-projekte\bachelor-thesis\gliederung-klartext.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:14:02","26254"
"01-projekte\bachelor-thesis\scope-klartext.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:14:02","24665"
"01-projekte\bachelor-thesis\logs\2026-03-17-bachelorarbeit-dokumentation.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-16 19:26:42","663"
"01-projekte\bachelor-thesis\logs\2026-04-21-maddox-cafe-session.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:14:02","2098"
"01-projekte\coralate\coralate.md","1","0","8","0","0","0","0","0","SEVERE","2026-04-26 20:22:49","4205"
"01-projekte\coralate\tech-stack-conventions.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-16 23:17:58","7929"
"01-projekte\coralate\cora-ai\cora-ai.md","1","1","6","0","1","0","0","0","SEVERE","2026-04-26 20:24:17","4225"
"01-projekte\coralate\cora-ai\diskrepanzen.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-18 23:28:43","8722"
"01-projekte\coralate\cora-ai\meeting-2026-04-18-cora-ausrichtung.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-25 19:47:49","12495"
"01-projekte\coralate\cora-ai\meeting-2026-04-26-weekly.md","1","0","4","0","1","0","0","0","SEVERE","2026-04-26 21:33:07","4096"
"01-projekte\coralate\food-scanner\borrow-script-v2.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:07:44","7154"
"01-projekte\coralate\food-scanner\frontend-integration.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-16 23:14:14","6873"
"01-projekte\coralate\food-scanner\prompt-log.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:07:40","15886"
"01-projekte\coralate\food-scanner\logs\2026-04-19-etappe-3-borrowing-vision-prompt-analyse.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 19:05:41","5862"
"01-projekte\hays\lizenzmanagement-konzept.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-16 23:00:41","7936"
"01-projekte\hays\logs\2026-03-30-hays-reporting-cowork-automatisierung.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-16 19:26:36","533"
"01-projekte\hdwm\hdwm.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-23 17:18:38","1914"
"01-projekte\hdwm\leitfaden-wissenschaftliches-arbeiten.md","0","0","0","0","1","0","0","1","SEVERE","2026-04-20 17:34:20","18225"
"01-projekte\hdwm\pruefungsordnung.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-20 17:24:43","13140"
"01-projekte\hdwm\semester-5\international-sales-turnitin-bericht.md","0","0","0","0","0","0","0","1","SEVERE","2026-04-24 21:17:33","3133"
"01-projekte\hdwm\semester-5\meeting-kaufmann-2026-04-21.md","0","0","0","0","0","0","0","1","SEVERE","2026-04-25 14:00:08","10288"
"01-projekte\miraculix\miraculix.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-16 21:53:02","2994"
"01-projekte\persönlich\zukunftsplaene.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-23 17:17:07","1832"
"01-projekte\persönlich\kommunikation-referenzen\kommunikation-referenzen.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:14:02","4290"
"01-projekte\persönlich\kommunikation-referenzen\email\2026-04-20_florian-goennenwein_thesis-interview.md","0","0","0","0","0","0","0","1","SEVERE","2026-04-24 21:14:02","3589"
"01-projekte\persönlich\logs\2026-04-23-anastasia-call.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-23 16:54:38","544"
"01-projekte\pulsepeptides\clickup-pulse-entwurf.md","1","0","0","0","1","0","0","0","SEVERE","2026-04-26 17:19:21","10296"
"01-projekte\pulsepeptides\firmenstruktur.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-26 16:53:33","6696"
"01-projekte\pulsepeptides\janoshik-ocr.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-26 16:55:25","3475"
"01-projekte\pulsepeptides\pulsepeptides.md","1","1","31","0","1","0","0","0","SEVERE","2026-04-26 17:16:07","5546"
"01-projekte\pulsepeptides\knowledge-base\bestellprozess.md","1","0","0","0","0","0","0","0","SEVERE","2026-04-26 17:19:16","1116"
"01-projekte\pulsepeptides\knowledge-base\lab-peptides.md","0","0","0","0","1","1","0","0","SEVERE","2026-04-26 17:00:55","42872"
"01-projekte\pulsepeptides\knowledge-base\lieferanten.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-26 17:00:55","3299"
"01-projekte\pulsepeptides\knowledge-base\produkte.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-26 16:53:51","3564"
"01-projekte\pulsepeptides\knowledge-base\support-eskalation.md","0","0","0","0","0","0","0","1","SEVERE","2026-04-24 21:14:02","8315"
"01-projekte\pulsepeptides\knowledge-base\zy-peptides.md","1","0","2","0","0","0","0","0","SEVERE","2026-04-26 16:58:40","14362"
"01-projekte\pulsepeptides\logs\2026-04-16-kalani-onboarding-firmenstruktur.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-26 17:00:55","3172"
"01-projekte\pulsepeptides\logs\2026-04-20-kalani-call.md","0","0","0","1","0","0","0","0","moderate","2026-04-26 17:00:55","3980"
"01-projekte\pulsepeptides\logs\2026-04-25-kalani-call.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-26 17:00:55","7863"
"01-projekte\thalor\heiraten-daenemark\admin-hub-konzept.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-25 13:58:40","7399"
"01-projekte\thalor\heiraten-daenemark\heiraten-daenemark.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-25 13:58:13","6233"
"01-projekte\thalor\herosoftware\clay-integration.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-16 23:06:14","7430"
"01-projekte\thalor\herosoftware\digitalocean-droplet.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:15:07","6391"
"01-projekte\thalor\herosoftware\hetzner-setup.md","0","0","0","0","0","0","0","1","SEVERE","2026-04-24 21:14:02","3955"
"01-projekte\thalor\herosoftware\workflows\wf1-mantle-attio.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-16 23:05:17","7934"
"01-projekte\thalor\pflegedienst-triebskorn\automatisierungen.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:14:02","2243"
"02-wissen\vault-schreibkonventionen.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-25 19:49:02","2964"
"02-wissen\health\neurotransmitter-network.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-20 18:14:38","3943"
"02-wissen\health\theoretischer-stack.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-20 18:14:38","4311"
"03-kontakte\anastasia-quast.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-23 16:55:53","997"
"03-kontakte\christian-pulse.md","1","1","8","0","0","0","0","0","SEVERE","2026-04-25 20:51:44","696"
"03-kontakte\german-pulse.md","1","1","8","0","0","0","0","0","SEVERE","2026-04-25 20:52:15","626"
"03-kontakte\igor-puzynya.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-25 13:57:38","1037"
"03-kontakte\kai-pulse.md","1","1","8","0","0","0","0","0","SEVERE","2026-04-25 20:52:09","587"
"03-kontakte\lizzi-pulse.md","1","1","8","0","0","0","0","0","SEVERE","2026-04-25 20:52:48","565"
"03-kontakte\patrick-pulse.md","1","1","8","0","0","0","0","0","SEVERE","2026-04-25 20:52:42","604"
"03-kontakte\rini-kodzadziku.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:14:02","2013"
"03-kontakte\robin-kronshagen.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-21 12:01:04","924"
"03-kontakte\sabine-eufe.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-24 21:14:02","550"
"04-tagebuch\2026\04\2026-04-26.md","0","0","34","1","0","0","0","0","moderate","2026-04-26 16:58:28","1495"
"05-archiv\migration-abschluss.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-16 21:53:02","9502"
"_claude\skills\drive-eingang-holen.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-20 12:13:13","4221"
"_claude\skills\schreibstil.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-17 13:36:16","6620"
"_claude\skills\vault-system.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-25 19:46:57","8763"
"_claude\skills\wissens-destillation.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-16 21:53:02","2965"
"_meta\schema.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-17 09:25:32","6215"
